patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the isolated antibody specifically binding to _-syn aggregates. The claims detail the structure and sequences of the antibody, indicating it is an unconjugated antibody composition. There are no claims for a full ADC or conjugated components.",143-154-603-067-990
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on an isolated antibody specifically recognizing ROR1, which is an unconjugated antibody. The claims detail the sequences and characteristics of the antibody, without specifying a linker or payload, indicating it is an antibody intermediate.",132-024-389-417-675
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the bispecific antibody composition targeting PD-L1 and LAG3. The claims detail the specific sequences and binding characteristics of the antibody, indicating it is an unconjugated antibody composition.",035-535-701-536-934
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on the anti-CLL-1 antibody, which is specified in detail. Although there are claims related to conjugation with a cytotoxic agent, the antibody itself is the main inventive concept, making it a 'Conjugated Antibody' subtype.",126-400-017-050-111
Composition,Full ADC,,[],[],"The patent's broadest independent claim is directed to an antibody-drug conjugate (ADC) comprising a specific compound, linker, and antibody. This indicates a 'Full ADC' composition as it specifies all three components: antibody, linker, and payload.",032-702-686-208-890
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on the bispecific antibody composition, specifically detailing the sequences and structures of the anti-B7-H4 and anti-4-1BB antibodies. The claims emphasize the antibody's structure rather than its use in treatment, making it a 'Conjugated Antibody' subtype.",123-305-417-696-371
Composition,Unconjugated Antibody,,[],[],"The primary claim of the patent is directed towards a bispecific antibody targeting BCMA and 4-1BB. There is no mention of a linker or payload, indicating that the focus is on the unconjugated antibody itself.",155-867-970-269-637
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the composition of an antibody that binds to alpha-synuclein aggregates. The claims detail the specific sequences of the antibody's variable regions, indicating it is an unconjugated antibody composition.",100-484-468-185-151
Composition,Conjugated Antibody,,[],[],"The primary focus of the patent is on the bispecific antibody composition, specifically detailing the sequences and structure of the anti-4-1BB/anti-HER2 bispecific antibody. The method claims are secondary to the composition claims, which are the broadest independent claims.",065-075-094-026-839
Composition,Unconjugated Antibody,,[],[],"The primary claim of the patent is directed towards an anti-4-1BB/anti-EGFR bispecific antibody, which is an unconjugated antibody. The method-of-treatment claims are dependent on the composition claims, making the composition the broadest independent claim.",046-548-139-465-762
Composition,Unconjugated Antibody,,[],[],"The primary claim of the patent is directed towards an anti-PD-L1/anti-B7-H3 multispecific antibody, which is an unconjugated antibody. The claims focus on the specific sequences and structures of the antibody, without detailing any conjugation to linkers or payloads.",115-389-685-382-652
Composition,Full ADC,,[],[],"The primary claim of the patent is directed towards an antibody-drug conjugate (ADC) comprising an anti-ROR1 antibody, a linker, and a payload, which fits the 'Full ADC' subtype. The claims focus on the composition of the ADC rather than methods of treatment or manufacturing processes.",180-068-866-368-876
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the bispecific antibody composition targeting CLDN18.2 and 4-1BB. The claims detail the specific sequences and structures of the antibody, without specifying a linker or payload, classifying it as an 'Unconjugated Antibody'.",070-837-454-760-121
