ror1_flag,ror1_confidence,ror1_reasoning,b7h3_flag,b7h3_confidence,b7h3_reasoning,topo1_flag,topo1_confidence,topo1_reasoning,bispecific_flag,bispecific_reasoning,competitor_flag,competitor_reasoning,lens_id,error
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting.",False,none,The claims do not mention topoisomerase I inhibitors or any specific compounds or mechanisms associated with topoisomerase I inhibition.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there are no bispecific constructs described. Therefore, the patent does not pose a competitive risk to the ADC program targeting these elements.",032-455-867-002-052,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL or mantle cell lymphoma.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,"The claims specify a splicing modulator as the payload, not a topoisomerase I inhibitor. There is no mention of camptothecin derivatives or topoisomerase I inhibition.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent does not pose a competitive risk to the ADC program targeting these specific elements.",139-361-532-934-31X,
False,none,"The claims do not mention ROR1 or any specific characteristics associated with ROR1 targeting, such as Wnt5a signaling or expression in specific cancers.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics associated with B7-H3 targeting, such as its expression profile in various cancers.",False,none,The claims do not mention topoisomerase I inhibitors or any specific payloads related to topoisomerase I inhibition.,False,The claims do not describe bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"There is no indication in the claims of targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload. Therefore, this patent does not pose a competitive risk to the ADC program targeting these elements.",168-351-691-230-523,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1, such as involvement in Wnt5a signaling or expression in CLL or mantle cell lymphoma.",True,high,"The claims explicitly mention antibodies targeting B7-H3, including specific antibodies like enoblituzumab and mirzotamab, which are known to bind B7-H3.",True,high,"The claims explicitly mention DNA topoisomerase I inhibitors, including camptothecin-type bioactive molecules, which are well-known topoisomerase I inhibitors.",False,"While the claims mention multispecific antibodies, there is no indication that these constructs specifically target both ROR1 and B7-H3.",True,"The patent poses a competitive risk due to high confidence in claims targeting B7-H3 and using topoisomerase I inhibitor payloads, which are relevant to the ADC program.",159-685-043-084-12X,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL or mantle cell lymphoma.",False,none,"The claims do not mention B7-H3, CD276, or any characteristics specific to B7-H3 targeting, such as being a 4Ig B7 family member or overexpression in specific solid tumors.",False,none,"The claims focus on alpha polyglutamated pralatrexate and liposomal formulations, with no mention of topoisomerase I inhibitors or related payloads.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent does not pose a competitive risk to an ADC program targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as none of these elements are addressed in the claims.",012-610-528-009-526,
False,none,The claims are specific to anti-CD22 antibody conjugates and do not mention ROR1 or any related characteristics.,False,none,The claims focus on anti-CD22 antibody conjugates and do not mention B7-H3 or any related characteristics.,False,none,"The payload described in the claims is maytansine, which is not a topoisomerase I inhibitor. There is no mention of topoisomerase I inhibitors or related compounds.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to anti-CD22 antibody-maytansine conjugates and do not involve ROR1, B7-H3, or topoisomerase I inhibitor payloads. Therefore, it does not pose a competitive risk to the ADC program targeting these elements.",093-295-273-454-628,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,"The claims do not specify a topoisomerase I inhibitor or any related compounds like camptothecin derivatives. The focus is on benzodiazepine derivatives, which are not related to topoisomerase I inhibition.",False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there are no bispecific constructs described. Therefore, this patent does not pose a competitive risk to the ADC program targeting these elements.",116-872-710-656-827,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL or mantle cell lymphoma.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member or overexpression in specific cancers.",False,none,"The claims do not explicitly mention a topoisomerase I inhibitor or any specific compounds like DXd, SN-38, or camptothecin derivatives. The payload described does not match known topoisomerase I inhibitors.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. Therefore, the patent does not pose a competitive risk to the ADC program targeting these elements.",040-070-331-678-815,
False,none,"The claims do not mention ROR1, orphan receptor tyrosine kinases, or any specific characteristics associated with ROR1 targeting.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics associated with B7-H3 targeting.",True,high,"The claims explicitly list SN-38 and camptothecin, which are known topoisomerase I inhibitors, as potential payloads for the disaccharide-small molecule drug conjugate.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,The patent poses a competitive risk due to the high confidence in the inclusion of topoisomerase I inhibitors as payloads in the claimed ADC constructs.,191-512-782-583-533,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL or mantle cell lymphoma.",True,high,"Claim 26 explicitly mentions an antibody targeting B7-H3, which is also known as CD276, indicating a high confidence in B7-H3 targeting.",True,high,"The claims describe a ligand-drug conjugate with an exatecan analogue, which is a known topoisomerase I inhibitor, providing high confidence in the use of a topoisomerase I inhibitor payload.",False,The claims do not describe a bispecific or multispecific antibody construct.,True,The patent poses a competitive risk due to high confidence in both B7-H3 targeting and the use of a topoisomerase I inhibitor payload.,045-874-388-992-261,
False,none,The claims do not mention ROR1 or any characteristics specific to ROR1 targeting. The focus is solely on B7-H3 targeting.,True,high,"The claims explicitly describe antibody drug conjugates capable of binding to human B7H3, with specific sequences provided for the antibodies. This directly supports B7-H3 targeting.",True,high,"The claims mention a cytotoxic agent, such as an exatecan analogue, which is a known topoisomerase I inhibitor. This supports the use of a topoisomerase I inhibitor payload.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,"The patent poses a competitive risk due to high confidence in both B7-H3 targeting and the use of a topoisomerase I inhibitor payload, which are relevant to the ADC program in question.",056-606-472-237-507,
False,none,The claims are specific to anti-CD123 antibodies and do not mention ROR1 or any related characteristics.,False,none,The claims focus on anti-CD123 antibodies and do not reference B7-H3 or any related features.,False,none,"The payload described in the claims is a KSP inhibitor, not a topoisomerase I inhibitor or related compounds.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to anti-CD123 ADCs with KSP inhibitor payloads, which do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor ADCs.",018-400-967-156-379,
True,high,"Claim 10 explicitly lists ROR1 as a binding target for the antibody-drug conjugate, providing high confidence in ROR1 targeting.",True,high,"Claim 10 explicitly lists B7H3 as a binding target for the antibody-drug conjugate, providing high confidence in B7-H3 targeting.",True,high,"Claim 28 specifies that the drug conjugate can include a DNA topoisomerase inhibitor, and claim 29 lists specific topoisomerase I inhibitors such as irinotecan and SN-38, providing high confidence in topoisomerase I inhibitor payload.",False,"The claims do not describe a bispecific or multispecific antibody construct, so the bispecific flag is set to false.",True,"The patent poses a competitive risk due to high confidence in targeting ROR1, B7-H3, and using a topoisomerase I inhibitor payload, meeting the criteria for setting the competitor flag to true.",132-370-947-693-650,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",True,high,"Claim 8 explicitly mentions an anti-B7-H3 antibody, and claim 19 provides detailed sequence information for the B7-H3 antibody, confirming specific targeting of B7-H3.",False,none,The claims do not specify a topoisomerase I inhibitor payload or any related compounds such as camptothecin derivatives.,False,The claims do not describe a bispecific or multispecific antibody construct.,True,The high confidence in B7-H3 targeting through explicit claim language and sequence information indicates a competitive risk to ADC programs targeting B7-H3.,186-065-986-278-175,
False,none,"The claims do not mention ROR1 or any characteristics associated with ROR1 targeting, such as Wnt5a signaling or expression in specific cancers.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads such as camptothecin derivatives.,False,The claims describe heterobifunctional molecules but do not specify bispecific antibodies targeting ROR1 or B7-H3.,False,"The patent does not pose a competitive risk to an ADC program targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as none of these elements are claimed.",031-585-595-777-709,
False,none,"The claims focus exclusively on antibodies targeting IGF-1R, with no mention or implication of ROR1 or related receptor characteristics.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims, which are specific to IGF-1R targeting antibodies.",False,none,"The claims do not mention any payloads, including topoisomerase I inhibitors or related compounds. The focus is solely on IGF-1R antibodies.",False,The claims do not describe any bispecific or multispecific antibody constructs; they are specific to IGF-1R targeting.,False,"The patent claims are specific to IGF-1R targeting antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads. Therefore, it poses no competitive risk to the ADC program targeting these elements.",005-927-242-002-144,
True,high,"The claims explicitly mention ROR1 as a target for the ligand-drug conjugate, specifically in claim 18 and 19, which describe the ligand unit Pc as an antibody or antigen-binding fragment that specifically binds to ROR1.",False,none,"There is no mention of B7-H3 or CD276 in the claims, nor any description that matches the criteria for B7-H3 targeting.",True,high,"The claims describe a drug unit D that includes camptothecin derivatives, which are known topoisomerase I inhibitors, as indicated in the title and abstract.",False,The claims do not describe a bispecific or multispecific antibody construct; they focus on a single ligand-drug conjugate targeting specific antigens.,True,"The patent poses a competitive risk due to high confidence in both ROR1 targeting and the use of a topoisomerase I inhibitor payload, which aligns with the ADC program's focus.",003-991-167-855-385,
False,none,"The claims are specific to an antibody that binds to CD22, with no mention or implication of ROR1 targeting.",False,none,"The claims focus on CD22 binding antibodies, with no reference to B7-H3 or related characteristics.",False,none,There is no mention of topoisomerase I inhibitors or related payloads in the claims.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to CD22 targeting with no overlap in targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, thus posing no competitive risk to the ADC program.",042-184-371-832-31X,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in specific cancers.",False,none,"The claims do not mention B7-H3, CD276, or any characteristics specific to B7-H3 targeting, such as overexpression in certain solid tumors.",False,none,"The claims focus on a specific chemical compound and its formulation, with no mention of topoisomerase I inhibitors or related payloads.",False,There are no claims describing bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"The patent claims do not cover ROR1, B7-H3, or topoisomerase I inhibitor payloads, and there are no bispecific constructs involving these targets. Therefore, it does not pose a competitive risk to the ADC program.",044-550-013-013-189,
False,none,"The claims do not mention ROR1 or any specific characteristics associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics associated with B7-H3 targeting.",True,high,"The claims explicitly list camptothecin and irinotecan, which are known topoisomerase I inhibitors, as potential payloads for the ADC.",False,"The claims mention bispecific antibodies but do not specify ROR1 or B7-H3 as targets, nor do they provide sufficient detail to infer such targeting.",True,"The patent poses a competitive risk due to the high confidence in the inclusion of topoisomerase I inhibitors as payloads, which aligns with the ADC program's focus.",015-287-030-286-851,
False,none,The claims do not mention ROR1 or any characteristics specific to ROR1 targeting.,False,none,The claims do not mention B7-H3 or any characteristics specific to B7-H3 targeting.,False,none,The claims do not mention topoisomerase I inhibitors or any specific payloads related to topoisomerase I inhibition.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and no bispecific constructs are described. Therefore, this patent does not pose a competitive risk to the ADC program targeting these elements.",022-405-589-002-854,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as orphan receptor tyrosine kinase with Wnt5a involvement or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting. The tumor-associated antigens listed do not include B7-H3.",True,high,"Claim 4 explicitly includes 'topoisomerase inhibitor' as a type of chemical anticancer agent, which directly supports the presence of a topoisomerase I inhibitor payload.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,"The presence of a topoisomerase I inhibitor payload in the claims poses a competitive risk to ADC programs using similar payloads, despite the absence of ROR1 or B7-H3 targeting.",022-153-350-704-661,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting.",False,none,"The claims focus on compositions involving a 3E10 antibody and mRNA, with no mention of topoisomerase I inhibitors or related payloads.",False,"While the claims mention bispecific antibodies, there is no indication that one arm targets ROR1 or B7-H3.",False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and the bispecific constructs do not involve these targets.",018-388-239-013-661,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",True,high,"The claims explicitly mention an anti-B7H3 antibody, which directly targets B7-H3 (CD276).",True,high,"The claims describe compounds with structures consistent with known topoisomerase I inhibitors, such as camptothecin derivatives, indicating a topoisomerase I inhibitor payload.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,The patent poses a competitive risk due to high confidence in both B7-H3 targeting and topoisomerase I inhibitor payload claims.,040-216-635-368-073,
False,none,The claims focus on anti-LY6H antibodies and do not mention ROR1 or any related characteristics such as Wnt5a signaling or expression in CLL or mantle cell lymphoma.,False,none,"The claims are specific to LY6H and do not mention B7-H3, CD276, or any related characteristics of the B7 family.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads such as camptothecin derivatives.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent claims are specific to LY6H-targeting antibodies and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads, indicating no competitive risk to the ADC program targeting these elements.",065-446-278-530-060,
False,none,The claims focus exclusively on anti-CD38 antibodies and do not mention ROR1 or any related characteristics.,False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific antibodies.,False,"The patent claims are specific to anti-CD38 antibodies and do not relate to ROR1, B7-H3, or topoisomerase I inhibitor payloads, posing no competitive risk to the ADC program targeting these elements.",060-037-976-715-880,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1, such as involvement in Wnt5a signaling or expression in CLL or mantle cell lymphoma.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3, such as being a 4Ig B7 family member or overexpression in specific cancers.",False,none,"The claims do not mention topoisomerase I inhibitors or any specific payloads related to topoisomerase I inhibition, such as camptothecin derivatives.",False,"While the claims describe constructs that could potentially be used in bispecific formats, there is no mention of ROR1 or B7-H3 as targets, which are necessary for the bispecific_flag to be true.",False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there is no bispecific construct targeting ROR1 or B7-H3. Therefore, the patent does not pose a competitive risk to the ADC program targeting these elements.",082-138-874-995-835,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as overexpression in specific solid tumors.",False,none,The claims focus on paclitaxel as the therapeutic agent and do not mention any topoisomerase I inhibitors or related compounds.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors, and there are no bispecific constructs targeting these antigens. Therefore, there is no competitive risk to the ADC program.",061-514-222-611-810,
False,none,"The claims focus on polypeptides binding to LRP5 and inhibiting Wnt signaling, with no mention of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims. The focus is on LRP5-binding polypeptides.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads. The focus is on polypeptides targeting LRP5.,False,The claims do not describe bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"The patent does not pose a competitive risk to an ADC program targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as none of these elements are addressed in the claims.",065-857-609-188-156,
False,none,The claims focus on Fn14 targeting and do not mention ROR1 or any related characteristics.,False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads.,False,The claims do not describe any bispecific or multispecific constructs.,False,"The patent claims are specific to Fn14-targeted nanoparticles and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads, indicating no competitive risk to the ADC program.",069-121-664-813-894,
False,none,The claims do not mention ROR1 or any related characteristics such as orphan receptor tyrosine kinase involvement in Wnt5a signaling or expression in specific cancers.,False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims.",False,none,The claims do not reference topoisomerase I inhibitors or any related compounds such as camptothecin derivatives.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met, and there are no bispecific constructs described. Therefore, this patent does not pose a competitive risk to the ADC program.",069-089-711-105-886,
False,none,"The claims focus on fibroblast activation protein (FAP) and fibroblast targeting, with no mention of ROR1 or related receptor tyrosine kinases.",False,none,"There is no mention of B7-H3, CD276, or any related B7 family members in the claims. The focus is on FAP and fibroblast targeting.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads. The focus is on fibroblast targeting and signaling agents like interferons.,False,The claims do not describe bispecific or multispecific antibodies targeting ROR1 or B7-H3. The focus is on FAP targeting agents.,False,"The patent does not pose a competitive risk to an ADC program targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as it focuses on FAP targeting agents.",071-543-401-882-478,
False,none,The claims focus exclusively on anti-CD25 antibodies and do not mention ROR1 or any related characteristics.,False,none,The claims are specific to anti-CD25 antibodies and do not reference B7-H3 or any related features.,False,none,"The claims do not mention any topoisomerase I inhibitors or related payloads, focusing instead on maytansine conjugates.",False,There is no mention of bispecific or multispecific antibodies in the claims.,False,"The patent claims are specific to anti-CD25 antibodies with maytansine payloads and do not overlap with ROR1, B7-H3, or topoisomerase I inhibitor payloads.",073-729-770-707-235,
False,none,"The claims focus on a bispecific antibody targeting HER2 and CD3, with no mention of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or related characteristics in the claims.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads.,False,"While the claims describe a bispecific antibody, neither arm targets ROR1 or B7-H3.",False,"The patent does not pose a competitive risk to an ADC program targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as none of these elements are claimed.",107-441-200-646-417,
False,none,The claims focus on antibodies targeting Glypican-3 (GPC3) and do not mention ROR1 or any related receptor tyrosine kinase characteristics.,False,none,"The claims are specific to GPC3-targeting antibodies and do not reference B7-H3, CD276, or any related B7 family member characteristics.",False,none,"The claims specify tubulysin as the cytotoxic agent, with no mention of topoisomerase I inhibitors or related compounds.",False,There is no mention of bispecific or multispecific antibody constructs in the claims.,False,"The patent claims are specific to GPC3-targeting antibodies with tubulysin payloads, posing no competitive risk to ADC programs targeting ROR1, B7-H3, or using topoisomerase I inhibitor payloads.",116-679-293-113-404,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as its overexpression in certain solid tumors.",False,none,The claims do not mention topoisomerase I inhibitors or any related compounds like camptothecin derivatives.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors, and there are no bispecific constructs targeting these antigens. Therefore, the patent does not pose a competitive risk to the ADC program.",127-940-157-394-147,
False,none,"The claims do not mention ROR1 or any specific characteristics associated with ROR1 targeting, such as orphan receptor tyrosine kinase involvement in Wnt5a signaling or expression in specific cancers.",False,none,"There is no mention of B7-H3, CD276, or any specific characteristics that would suggest targeting of B7-H3 in the claims.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads such as camptothecin derivatives or analogs.,False,"While the claims describe bispecific ligands, there is no indication that one arm targets ROR1 or B7-H3, which are necessary for this flag.",False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and the bispecific constructs do not target these antigens. Therefore, the patent does not pose a competitive risk to the ADC program targeting these specific elements.",120-824-529-557-523,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,"The claims do not specify any topoisomerase I inhibitors or related compounds such as camptothecin derivatives. The payloads mentioned are maytansine, paclitaxel, auristatin, epothilone, and vinca alkaloids, which are not topoisomerase I inhibitors.",False,The claims do not describe any bispecific or multispecific antibodies targeting ROR1 or B7-H3.,False,"None of the claims indicate targeting of ROR1, B7-H3, or the use of a topoisomerase I inhibitor payload. Therefore, there is no competitive risk to the ADC program based on the evaluated criteria.",137-296-639-298-834,
