ror1_flag,ror1_confidence,ror1_reasoning,b7h3_flag,b7h3_confidence,b7h3_reasoning,topo1_flag,topo1_confidence,topo1_reasoning,bispecific_flag,bispecific_reasoning,competitor_flag,competitor_reasoning,lens_id
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the patent.,False,none,The claims do not mention B7-H3 or any related immune checkpoint. There is no indication of targeting B7-H3 in the patent.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. There is no indication of a topoisomerase I inhibitor payload in the patent.,False,"The bispecific antibody described targets alpha-synuclein and IGF1R, neither of which are related to ROR1 or B7-H3. Thus, it does not meet the criteria for bispecific constructs relevant to the ADC program.",False,There is no evidence from the claims that supports any competitive risk to the ADC program targeting ROR1 or B7-H3 with a topoisomerase I inhibitor payload.,106-752-227-105-364
False,none,"The patent does not mention ROR1 or any related receptor. Claims focus solely on antibodies targeting alpha-synuclein aggregates, with no reference to ROR1 or its characteristics.",False,none,"There is no mention of B7-H3 or CD276 in the claims. The patent is centered around antibodies for alpha-synuclein, which does not relate to B7-H3 targeting.",False,none,"The patent does not specify any topoisomerase I inhibitors or related payloads. Claims are focused on antibodies and their binding properties, with no mention of any cytotoxic payloads.",False,The claims do not describe any bispecific or multispecific antibodies. All claims pertain to isolated antibodies targeting alpha-synuclein aggregates.,False,"No claims provide medium or high confidence for ROR1, B7-H3, or topoisomerase I inhibitors, indicating no competitive risk to the ADC program.",143-154-603-067-990
True,high,"The claims explicitly mention an isolated antibody specifically recognizing the extracellular domain of ROR1, with detailed sequences provided for the heavy and light chain complementarity determining regions. This clearly supports high confidence in ROR1 targeting.",False,none,"There is no mention of B7-H3 or CD276 in the claims, nor any indication of targeting this protein. The patent is focused solely on ROR1.",False,none,The claims do not reference any topoisomerase I inhibitors or specific payloads associated with such mechanisms. There is no indication of a topoisomerase I inhibitor payload.,False,The claims do not describe any bispecific or multispecific constructs. All claims pertain to a single antibody targeting ROR1.,True,"The patent poses a competitive risk due to its high confidence in targeting ROR1, which overlaps with the ADC program's focus on this receptor.",132-024-389-417-675
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting or binding to ROR1 in the patent.,False,none,The claims do not explicitly mention B7-H3 or CD276. There is no indication of targeting or binding to B7-H3 in the patent.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. There is no mention of specific compounds associated with topoisomerase I activity.,False,"While the claims describe a bispecific antibody, neither arm targets ROR1 nor B7-H3, thus not meeting the criteria for bispecific constructs related to these targets.",False,"There is no evidence of competitive risk as none of the flags for ROR1, B7-H3, topoisomerase I payload, or bispecific constructs are met.",035-535-701-536-934
False,none,The patent does not mention ROR1 or any related receptor. Claims focus solely on anti-CLL-1 antibodies without reference to ROR1 binding or specificity.,False,none,"There is no mention of B7-H3 or CD276 in the claims. The patent is centered on CLL-1 antibodies, which do not relate to B7-H3 targeting.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. The focus is on the anti-CLL-1 antibody without reference to specific cytotoxic agents.,False,The claims do not describe any bispecific or multispecific constructs. All claims pertain to anti-CLL-1 antibodies without indication of bispecificity.,False,"No claims support targeting ROR1, B7-H3, or a topoisomerase I inhibitor payload, leading to a conclusion of no competitive risk.",126-400-017-050-111
True,high,"Claim 12 explicitly mentions an anti-ROR1 antibody, indicating a direct targeting of the ROR1 receptor.",False,none,"There is no mention of B7-H3 or CD276 in the claims, nor any indication of targeting this specific protein.",True,medium,"The claims describe compounds that may include topoisomerase I inhibitors, but do not explicitly name any specific topoisomerase I inhibitors or derivatives.",False,There are no claims describing a bispecific or multispecific antibody construct.,True,The presence of an anti-ROR1 antibody with high confidence and a potential topoisomerase I payload with medium confidence indicates a competitive risk.,032-702-686-208-890
False,none,The patent does not mention ROR1 or any related terms. There are no claims or references to ROR1 binding or targeting.,False,none,"The patent explicitly discusses B7-H4, which is a different protein from B7-H3. There are no claims or references to B7-H3 or CD276.",False,none,The patent does not mention any topoisomerase I inhibitors or related payloads. There are no claims regarding specific topoisomerase I inhibitors.,True,"The claims describe a bispecific antibody targeting B7-H4 and 4-1BB, which qualifies as a bispecific construct. However, it does not meet the criteria for ROR1 or B7-H3.",False,"None of the flags for ROR1, B7-H3, or topoisomerase I inhibitors are met with medium or high confidence, thus the patent does not pose a competitive risk.",123-305-417-696-371
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the patent.,False,none,The claims do not explicitly mention B7-H3 or CD276. There is no evidence of targeting B7-H3 in the patent.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. There is no mention of relevant compounds or mechanisms.,True,"The claims describe a bispecific antibody targeting BCMA and 4-1BB, which qualifies as a bispecific construct. However, neither target is ROR1 or B7-H3.",False,"There is no competitive risk as the claims do not support targeting ROR1, B7-H3, or a topoisomerase I inhibitor payload.",155-867-970-269-637
False,none,The claims do not mention ROR1 or any related receptor. They focus solely on antibodies targeting alpha-synuclein aggregates.,False,none,There is no mention of B7-H3 or any related immune checkpoint in the claims. The focus is on alpha-synuclein antibodies.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. They are centered around antibodies for alpha-synuclein.,False,The claims do not describe any bispecific or multispecific constructs. They only pertain to antibodies targeting alpha-synuclein.,False,"There is no indication of competitive risk as none of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors.",100-484-468-185-151
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the patent.,False,none,The claims do not explicitly mention B7-H3 or CD276. There is no evidence of targeting B7-H3 in the patent.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. There is no mention of specific compounds associated with topoisomerase I.,True,"The claims describe a bispecific antibody targeting 4-1BB and HER2, which qualifies as a bispecific construct. However, neither target is ROR1 or B7-H3.",False,"There is no medium or high confidence in targeting ROR1, B7-H3, or a topoisomerase I payload. The bispecific construct does not target the relevant antigens.",065-075-094-026-839
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the patent.,False,none,The claims do not explicitly mention B7-H3 or CD276. There is no evidence of targeting B7-H3 in the patent.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. There is no mention of relevant compounds or mechanisms.,True,"The claims describe a bispecific antibody targeting 4-1BB and EGFR, which qualifies as a bispecific construct. However, neither target is ROR1 or B7-H3.",False,"There is no competitive risk as the claims do not support targeting ROR1, B7-H3, or a topoisomerase I payload. The bispecific nature does not relate to the ADC program in question.",046-548-139-465-762
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the patent.,True,high,"The claims explicitly mention 'anti-B7-H3' and describe antibodies that bind to B7-H3, confirming a clear targeting of this protein.",False,none,There is no mention of a topoisomerase I inhibitor or any specific payload related to topoisomerase I in the claims.,True,"The claims describe a bispecific antibody that includes an anti-B7-H3 unit, which meets the criteria for B7-H3 targeting.",True,The presence of a high confidence B7-H3 targeting and a bispecific construct that includes B7-H3 indicates a competitive risk to the ADC program.,115-389-685-382-652
True,high,"The claims explicitly mention an anti-ROR1 antibody and provide specific sequences for the heavy and light chain variable regions that bind to ROR1, confirming the targeting of this receptor.",False,none,"There is no mention of B7-H3 or CD276 in the claims, nor any indication that the antibody targets this protein.",False,none,"The claims do not specify any topoisomerase I inhibitors or related payloads; therefore, there is no indication of a topoisomerase I inhibitor payload.",False,"The claims do not describe any bispecific or multispecific constructs, focusing solely on an anti-ROR1 antibody.",True,"The patent clearly targets ROR1 with high confidence, indicating a competitive risk to any ADC program also targeting ROR1.",180-068-866-368-876
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of an antibody targeting ROR1 in the provided claims.,False,none,The claims do not explicitly mention B7-H3 or CD276. There is no evidence of an antibody targeting B7-H3 in the provided claims.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. There is no mention of specific compounds associated with topoisomerase I activity.,True,"The claims describe a bispecific antibody with specificity to claudin 18.2 and 4-1BB, but do not meet the criteria for ROR1 or B7-H3 targeting.",False,"None of the flags for ROR1, B7-H3, or topoisomerase I payload are met, and the bispecific construct does not target the specified antigens.",070-837-454-760-121
